accuracy,biggest_difference
0.7737698453471102,48
0.7811577030518786,48
0.8037508092732661,48
0.8037508092732659,48
0.8037508092732655,48
6.525315494778073,50
6.574000141437083,50
5.459736622039234,50
3.2374617197282256,50
1.0076688100230533,50
0.7572334091074195,48
0.6115482049641228,44
0.38702190131007574,40
0.32626414166660067,40
0.20019199340093854,36
0.19139469485182278,36
0.1622027088256206,34
0.16220270882562104,34
0.1894300309095128,32
0.1894300309095132,32
0.1894300309095128,32
0.1894300309095125,32
0.8297292185315481,50
0.829729218531548,50
1.0824095933965663,52
1.0824095933965663,52
1.0824095933965663,52
1.0824095933965663,52
1.0824095933965663,52
1.0824095933965663,52
0.7097117751652043,50
0.6019396930661502,50
0.6019396930661502,50
0.6019396930661502,50
0.6542056541861747,50
0.6895124690392012,50
0.9768048534504522,52
0.9768048534504522,52
0.9768048534504522,52
1.17581751298491,54
1.3250772106852085,54
1.3198605573512572,54
1.2886085007405697,54
0.823960145705448,52
0.49985820491667404,50
0.2956927307646966,50
0.22047335579363472,50
0.7190929473704983,54
1.181004794270565,54
0.8720607102862907,54
1.1145848699514502,54
0.98421057642192,54
1.0965002672808604,54
1.0965002672808604,54
0.5869815711885773,52
2.601672375039177,58
2.046502291645488,56
2.046502291645488,56
2.046502291645488,58
3.0190742494054765,58
3.0190742494054765,58
3.0190742494054765,58
2.951213975778102,58
2.338663521499441,58
2.2093024435834456,58
2.1863286436438174,58
2.1863286436438174,58
2.1863286436438174,58
2.062399504886963,58
2.059759003326455,58
2.0597590033264543,58
2.0597590033264543,58
2.0597590033264543,58
2.059759003326455,58
2.059759003326455,58
2.068812214693872,58
2.078509485194461,58
2.0985742752519463,58
2.1584645679023193,58
2.1783673318397727,58
2.1863286436438174,58
2.4716814754177676,58
2.5085551032817,58
2.5085551032817,58
2.3545033107035147,58
2.2184922271346648,58
2.1849553265818433,58
6.8920816186250144,58
3.986515734545276,58
2.2410763446848008,58
2.2844279006284043,58
2.3551709013113555,58
2.3551709013113555,58
2.355170901311355,58
2.286827830186283,58
2.074153287731892,58
3.0449423693920936,68
3.039893363710129,70
3.3490067952330973,70
3.106398695260981,68
0.29404571352197073,70
0.6636797703020335,70
3.5121614472142357,68
3.5121614472142357,68
3.200855502828263,66
3.5121614472142357,68
3.5121614472142357,68
3.407375980707628,68
0.42020159402330765,68
0.7792190310020488,68
0.8062906604447345,68
0.8640524665242888,68
1.1036616412515954,64
1.0901017823457229,64
1.0223342285662087,64
1.2705493906903806,66
3.111582429143484,66
2.5146173461475283,66
1.0229535187001193,66
1.0229535187001193,66
1.0229535187001193,66
1.0037621564117751,68
0.8917136626710791,68
nan,68
nan,70
nan,70
nan,70
0.4293755562217942,50
0.4293755562217935,50
0.4293755562217945,50
0.4293755562217942,50
0.4293755562217942,50
0.42937555622179385,50
0.42937555622179396,50
0.4293755562217942,50
0.42937555622179374,50
0.4293755562217942,50
0.4293755562217943,50
0.4871842481801593,52
0.6331190096637946,52
0.6331190096637946,52
0.6415280196554944,52
0.6528732802053159,52
0.652873280205317,52
0.6528732802053159,52
0.6528732802053157,52
0.6528732802053159,52
0.6528732802053165,52
0.6331190096637944,52
0.6331190096637944,52
0.6331190096637946,52
0.6331190096637946,52
0.6331190096637944,52
0.6331190096637946,52
0.6038173085085632,52
0.4293755562217941,50
0.42937555622179385,50
0.4293755562217941,50
0.4293755562217942,50
0.4293755562217942,50
0.42937555622179396,50
0.42937555622179385,50
0.4293755562217941,50
0.4293755562217942,50
0.42937555622179396,50
0.4293755562217941,50
0.6331190096637946,52
1.7549243460225032,58
1.7549243460225035,58
1.2213255772775287,56
0.8935615624720298,54
0.8935615624720296,54
0.8935615624720297,54
0.8935615624720299,54
0.9152739565665398,54
0.9188935656255413,54
0.9188935656255413,54
0.7960528574960317,54
0.6351846861415114,52
0.24343508972604366,46
0.3048012546511542,46
0.3387257615979347,44
0.29955045473985376,46
0.24343508972604366,46
0.24343508972604352,46
0.3550256629030112,44
0.4625762963353104,42
0.5501747751683578,42
0.6103845335643521,40
0.6460949104207607,40
0.6460949104207607,40
0.6460949104207607,40
0.6460949104207607,40
0.6460949104207607,40
0.6460949104207607,40
0.627780346340302,40
0.627780346340302,40
0.5861912445008758,40
0.6103845335643521,40
0.6460949104207607,40
0.5861912445008758,40
0.6353042302799768,40
0.6460949104207605,40
0.6460949104207607,40
0.6460949104207605,40
0.6460949104207607,40
0.6460949104207607,40
0.6460949104207607,40
nan,16
2.4859763354681905,66
2.4859763354681905,66
2.4859763354681905,66
3.4628356239512437,66
3.4628356239512437,66
3.4628356239512437,66
4.158923509601144,66
6.490454705438719,64
4.23278360681225,64
3.856563717388341,64
6.490454705438719,64
6.490454705438719,64
6.490454705438719,64
6.490454705438719,64
6.490454705438719,64
6.490454705438719,64
6.490454705438719,64
6.490454705438717,64
6.490454705438717,64
6.490454705438719,64
6.490454705438717,64
6.490454705438719,64
6.490454705438717,64
6.490454705438717,64
6.490454705438719,64
6.490454705438718,64
5.087418645744994,66
5.087418645744994,66
5.087418645744994,66
5.087418645744994,66
5.087418645744994,66
5.087418645744994,66
8.330643337853529,66
8.330643337853529,66
6.940529300530747,66
4.987010594201303,68
5.087418645744994,66
nan,66
4.308616391964919,44
5.997324435675726,46
5.997324435675725,46
7.057992159999574,46
7.057992159999574,46
7.057992159999574,46
7.057992159999575,46
7.057992159999575,46
7.057992159999575,46
5.149676051289468,46
4.3787091907172515,44
4.308616391964919,44
4.470418483161996,46
6.803782186548963,46
8.820577635067945,46
8.820577635067945,46
8.820577635067945,46
8.820577635067945,46
8.820577635067945,46
2.5981113568590075,46
2.598111356859008,46
2.598111356859008,46
2.598111356859008,46
2.598111356859008,46
2.5981113568590075,46
2.5755950288300338,46
2.402722514256657,44
2.356500590509106,42
2.3565005905091057,42
nan,42
nan,40
nan,40
nan,40
nan,40
0.38238857271317417,54
0.42145010932747606,56
0.7667360274868219,58
3.8383979180123187,58
3.5670270960937422,54
4.028956404816456,54
4.539105857678217,52
4.539105857678217,52
2.363491642641841,52
1.0967077564064647,50
0.029021656743625394,50
0.029021656743624807,50
0.029021656743630636,50
0.2136079069831533,48
0.23454485432988603,48
0.23454485432988495,48
0.39921463540275254,46
0.3992146354027544,46
0.25796622231488103,48
0.23454485432988603,48
0.26907040963763373,48
0.29836074344542635,54
0.3639379175356264,54
0.3639379175356262,54
0.24953328557815538,54
0.13874377675150223,52
0.13874377675150218,52
0.1387437767515024,52
0.1387437767515025,52
0.10026849610722326,50
0.10026849610722319,50
0.10717317143223071,50
0.1416979447952557,50
0.1416979447952557,50
0.377894891865646,48
0.6540163253659167,44
0.4958484815506652,46
0.6540163253659167,44
0.5995497936119407,44
0.5995497936119403,44
0.5995497936119409,44
0.5995497936119412,44
0.5995497936119415,44
0.7426098502959656,42
0.7426098502959656,42
0.7426098502959656,42
0.7426098502959656,42
0.7426098502959656,42
0.8646685344124889,40
0.8237434916918597,40
2.4323363729765104,64
3.2212515254188694,64
3.2212515254188694,64
2.4323363729765104,64
2.3743114377717536,64
5.649930571230186,52
5.649930571230186,52
6.124585160112891,52
6.143595812937898,48
2070252614422573.2,48
10.823924552420007,50
10.823924552420005,50
3220392955768451.0,48
5.787917272740927,48
5.076566643637505,46
5.076566643637505,46
5.076566643637505,46
5.076566643637505,46
3.6313955122995005,46
3.6313955122995005,46
3.6313955122995005,46
3.695679159674996,48
3.8563905840144117,48
3.8563905840144113,48
3.8563905840144113,48
6.143595812937897,48
6.143595812937898,48
6.143595812937897,48
6.143595812937897,48
6.143595812937897,48
6.143595812937897,48
5.686295185308923,48
5.076566643637505,46
7.560122694453292,46
7.9747271705704135,46
7.9747271705704135,46
7.9747271705704135,46
13.018092849186885,48
13.018092849186885,48
13.018092849186885,48
6.04129951889277,46
5.076566643637504,46
4.541758549945724,44
5.852793960103105,48
8.130834290297964,50
9.042735369507119,50
nan,52
nan,52
inf,52
9.04273536950712,50
9.042735369507119,50
9.107485633506359,50
12.703365067027892,48
12.703365067027892,48
7.664387946077068,46
7.664387946077067,46
1621512208412032.8,46
3199405960799968.5,46
1066468653600002.5,50
11.661259005684386,50
11.661259005684386,50
11.661259005684386,50
11.661259005684386,50
11.661259005684386,50
16.165386006009697,50
22.17901101482085,48
22.17901101482085,48
22.17901101482085,48
22.17901101482085,48
22.17901101482085,48
2926949833052913.5,48
5.950942519292809,48
5.95094251929281,48
5.95094251929281,48
5.950942519292809,48
501762828523337.56,48
20.12101326310946,48
9.832006523452149,48
18.651035997668583,48
6398811921599956.0,46
6398811921599956.0,46
1.9737877003901434,44
1.9052224701729394,50
2.0791817132487997,58
2.2395909683757402,58
1.8999018655186701,58
1.3121288357880285,58
0.904643120926055,64
0.5764917254036848,64
0.8843798581527905,66
0.8843798581527905,66
0.8843798581527905,66
0.8843798581527907,66
0.884379858152791,66
0.8843798581527907,66
0.8030994308503695,66
0.6631442323052985,64
0.6532187099474157,62
0.6532187099474159,62
0.6445886921394233,62
0.7228676081732914,62
0.6445886921394233,62
0.7984329464302721,60
0.7984329464302721,60
0.8558798419580614,60
0.8422878849273938,60
0.8848494668701057,60
1.148995671979354,58
1.1810003202521948,58
1.498247518587494,56
4.887942486968561,54
5.057574217021753,56
6.053697830906133,56
5.797635066885772,56
6.833434210057639,54
6.833434210057639,54
6.833434210057638,54
21.798399507608103,54
4.272065457734529,46
4.237786687996982,46
4.237786687996982,46
7.24880788767668,54
7.768685965366301,54
8.959080851248201,54
15.68611389111088,54
nan,54
